transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,hour,day,is_fraud
TXN-3E3A44E74819,USR0020,7457.251963207814,2024-03-14 11:40:15.672605,31,34,9,169,1,0,140227.79,success,1232,11,3,0
TXN-84B8FC890498,USR0043,308.51678134343047,2024-06-02 09:52:57.000000,20,13,9,198,1,2,122548.77,success,236,9,6,0
TXN-95B71538FFAD,USR0044,3159.0,2024-03-18 21:09:35.000000,62,21,10,27,2,0,168910.49,success,1078,21,0,0
TXN-657F2702B5B2,USR0060,5349.73,2024-02-07 03:50:23.000000,2,2,2,121,2,2,9046.0,success,750,3,2,0
TXN-84C8BBF69256,USR0020,2454.5652128035144,2024-03-13 23:25:00.000000,62,21,12,169,1,0,153095.35,success,1223,23,2,0
TXN-E8035764417B,USR0066,2943.0,2024-01-26 03:50:44.000000,61,19,6,110,0,2,99903.09,success,641,3,4,0
TXN-DE0D22EC774D,USR0014,936.6696299210503,2024-05-01 16:09:37.000000,57,7,3,73,0,1,29671.44,success,255,16,2,0
TXN-AABD22929FC0,USR0062,5927.61,2024-03-08 20:27:45.295977,54,32,9,90,0,1,53696.89,success,1134,20,4,0
TXN-F5BEED556223,USR0052,2504.0,2024-03-04 14:41:04.000000,16,27,1,68,0,2,68661.03,success,390,14,0,0
TXN-D798247AA42C,USR0058,2988.415065683582,2024-06-09 13:02:00.000000,14,22,3,223,1,2,135894.35,success,707,13,6,0
TXN-2013E56E2B7B,USR0075,3115.739087705225,2024-04-21 03:09:40.000000,15,36,7,199,1,0,139166.51,success,1006,3,6,0
TXN-168E30C82A03,USR0079,4287.987118583151,2024-03-27 05:00:00.000000,33,27,6,120,2,0,160559.93,success,112,5,2,0
TXN-57EA11BC0E0A,USR0061,1249.0,2024-04-08 09:12:58.000000,29,17,5,153,2,0,122474.01,success,82,9,0,0
TXN-2D9B4EAD3647,USR0001,511.7863905782768,2024-05-03 20:49:10.000000,20,13,9,177,0,4,50000.48,success,847,20,4,0
TXN-6F32EB4545C7,USR0077,2301.3501671533645,2024-03-18 08:01:24.942704,4,31,3,162,0,2,52278.1,success,1254,8,0,0
TXN-BEFEEECFD256,USR0003,465.85,2024-05-27 11:26:40.000000,65,41,7,223,0,2,39707.03,success,174,11,0,0
TXN-D14FECEAA7AA,USR0079,5949.51,2024-04-06 04:17:00.000000,62,39,7,120,2,0,145397.34,success,119,4,5,0
TXN-A2AE9DF60060,USR0056,1771.0,2024-04-11 00:00:00.000000,56,23,2,200,1,3,182326.51,success,986,0,3,0
TXN-D1781D9F761D,USR0056,2024.4956,2024-04-15 21:18:01.000000,27,38,1,200,1,4,172505.37,success,982,21,0,0
TXN-4D41B0400AE5,USR0038,5270.996249416241,2024-04-08 00:00:00.000000,66,23,9,223,1,2,0.0,success,277,0,0,0
TXN-3DE451C39D8B,USR0073,8569.09,2024-05-16 07:40:24.000000,7,3,12,33,0,0,9272.34,success,1049,7,3,0
TXN-1AC98080E785,USR0036,894.77,2024-02-22 01:41:48.000000,41,27,6,53,0,3,93184.44,success,810,1,3,0
TXN-E98D6683B297,USR0025,4.0,2024-05-21 14:48:57.000000,12,22,5,223,0,0,2858.64,failed,1118,14,1,1
TXN-7035177E7F9F,USR0023,0.0,2024-02-04 22:10:00.000000,39,23,5,89,0,0,0.0,success,550,22,6,0
TXN-B48E03C513AE,USR0073,6.08,2024-04-13 00:35:45.000000,7,7,12,17,0,0,0.0,success,1066,0,5,0
TXN-E4ECB1E6FDCB,USR0061,1487.0,2024-04-17 09:51:57.661861,27,19,12,153,2,0,101686.85,success,102,9,2,0
